no,county,prefecture,province,type,population
1425,Ejin Horo,Ordos,Inner Mongolia,Banner,"226,752"
1426,Hailar,Hulunbuir,Inner Mongolia,District,"344,947"
1427,Jalainur,Hulunbuir,Inner Mongolia,District,not established
1428,Arun,Hulunbuir,Inner Mongolia,Banner,"278,744"
1429,Old Barag,Hulunbuir,Inner Mongolia,Banner,"58,244"
1430,New Barag Left,Hulunbuir,Inner Mongolia,Banner,"40,258"
1431,New Barag Right,Hulunbuir,Inner Mongolia,Banner,"36,356"
1432,Morin Dawa,Hulunbuir,Inner Mongolia,Autonomous banner (Daur),"276,912"
1433,Oroqin,Hulunbuir,Inner Mongolia,Autonomous banner (Oroqin),"223,752"
1434,Evenk,Hulunbuir,Inner Mongolia,Autonomous banner (Evenk),"134,981"
1435,Manzhouli,Hulunbuir,Inner Mongolia,City,"249,473"
1436,Yakeshi,Hulunbuir,Inner Mongolia,City,"352,177"
1437,Zhalantun,Hulunbuir,Inner Mongolia,City,"366,326"
1438,Ergun,Hulunbuir,Inner Mongolia,City,"76,667"
1439,Genhe,Hulunbuir,Inner Mongolia,City,"110,441"
1440,Linhe,Bayannur,Inner Mongolia,District,"541,721"
1441,Urad Front,Bayannur,Inner Mongolia,Banner,"293,269"
1442,Urad Middle,Bayannur,Inner Mongolia,Banner,"134,204"
1443,Urad Rear,Bayannur,Inner Mongolia,Banner,"65,207"
1444,Hanggin Rear,Bayannur,Inner Mongolia,Banner,"257,943"
1445,Wuyuan,Bayannur,Inner Mongolia,County,"260,480"
1446,Dengkou,Bayannur,Inner Mongolia,County,"117,091"
1447,Jining,Ulanqab,Inner Mongolia,District,"298,887"
1448,Chahar Right Front,Ulanqab,Inner Mongolia,Banner,"247,285"
1449,Chahar Right Middle,Ulanqab,Inner Mongolia,Banner,"219,038"
1450,Chahar Right Back,Ulanqab,Inner Mongolia,Banner,"217,877"
1451,Siziwang,Ulanqab,Inner Mongolia,Banner,"210,646"
1452,Zhuozi,Ulanqab,Inner Mongolia,County,"226,144"
1453,Huade,Ulanqab,Inner Mongolia,County,"175,621"
1454,Shangdu,Ulanqab,Inner Mongolia,County,"346,985"
1455,Xinghe,Ulanqab,Inner Mongolia,County,"317,286"
1456,Liangcheng,Ulanqab,Inner Mongolia,County,"246,038"
1457,Fengzhen,Ulanqab,Inner Mongolia,City,"336,749"
1458,Ulanhot,Hinggan,Inner Mongolia,City,"327,081"
1459,Arxan,Hinggan,Inner Mongolia,City,"68,311"
1460,Horqin Right Front,Hinggan,Inner Mongolia,Banner,"299,834"
1461,Horqin Right Middle,Hinggan,Inner Mongolia,Banner,"251,465"
1462,Jalaid,Hinggan,Inner Mongolia,Banner,"392,346"
1463,Tuquan,Hinggan,Inner Mongolia,County,"274,213"
1464,Erenhot,Xilingol,Inner Mongolia,City,"74,197"
1465,Xilinhot,Xilingol,Inner Mongolia,City,"245,886"
1466,Abag,Xilingol,Inner Mongolia,Banner,"43,574"
1467,Sonid Left,Xilingol,Inner Mongolia,Banner,"33,652"
1468,Sonid Right,Xilingol,Inner Mongolia,Banner,"71,063"
1469,East Ujimqin,Xilingol,Inner Mongolia,Banner,"93,962"
1470,West Ujimqin,Xilingol,Inner Mongolia,Banner,"87,614"
1471,Taibus,Xilingol,Inner Mongolia,Banner,"112,339"
1472,Bordered Yellow,Xilingol,Inner Mongolia,Banner,"28,450"
1473,Plain and Bordered White,Xilingol,Inner Mongolia,Banner,"54,443"
1474,Plain Blue,Xilingol,Inner Mongolia,Banner,"81,967"
1475,Duolun,Xilingol,Inner Mongolia,County,"100,893"
1476,Alxa Left,Alxa,Inner Mongolia,Banner,"173,494"
1477,Alxa Right,Alxa,Inner Mongolia,Banner,"25,430"
1478,Ejin,Alxa,Inner Mongolia,Banner,"32,410"
1479,Xuanwu,Nanjing,Jiangsu,District,"651,957"
1480,Qinhuai,Nanjing,Jiangsu,District,"405,891"
1481,Jianye,Nanjing,Jiangsu,District,"426,999"
1482,Gulou,Nanjing,Jiangsu,District,"826,074"
1483,Pukou,Nanjing,Jiangsu,District,"710,298"
1484,Qixia,Nanjing,Jiangsu,District,"644,503"
1485,Yuhuatai,Nanjing,Jiangsu,District,"391,285"
1486,Jiangning,Nanjing,Jiangsu,District,"1,145,628"
1487,Luhe,Nanjing,Jiangsu,District,"915,845"
1488,Lishui,Nanjing,Jiangsu,District,"421,323"
1489,Gaochun,Nanjing,Jiangsu,District,"417,729"
1490,Chongan,Wuxi,Jiangsu,District,"228,854"
1491,Nanchang,Wuxi,Jiangsu,District,"378,490"
1492,Beitang,Wuxi,Jiangsu,District,"336,844"
1493,Binhu,Wuxi,Jiangsu,District,"1,225,772"
1494,Huishan,Wuxi,Jiangsu,District,"691,059"
1495,Xishan,Wuxi,Jiangsu,District,"681,300"
1496,Jiangyin,Wuxi,Jiangsu,City,"1,594,829"
1497,Yixing,Wuxi,Jiangsu,City,"1,235,476"
1498,Gulou,Xuzhou,Jiangsu,District,"490,855"
1499,Yunlong,Xuzhou,Jiangsu,District,"345,393"
1500,Jiawang,Xuzhou,Jiangsu,District,"430,712"
1501,Quanshan,Xuzhou,Jiangsu,District,"539,693"
1502,Tongshan,Xuzhou,Jiangsu,District,"1,247,125"
1503,Feng,Xuzhou,Jiangsu,County,"963,531"
1504,Pei,Xuzhou,Jiangsu,County,"1,141,935"
1505,Suining,Xuzhou,Jiangsu,County,"1,039,315"
1506,Xinyi,Xuzhou,Jiangsu,City,"920,628"
1507,Pizhou,Xuzhou,Jiangsu,City,"1,458,038"
1508,Tianning,Changzhou,Jiangsu,District,"513,682"
1509,Zhonglou,Changzhou,Jiangsu,District,"505,936"
1510,Qishuyan,Changzhou,Jiangsu,District,"105,124"
1511,Xinbei,Changzhou,Jiangsu,District,"596,807"
1512,Wujin,Changzhou,Jiangsu,District,"1,568,999"
1513,Liyang,Changzhou,Jiangsu,City,"749,377"
1514,Jintan,Changzhou,Jiangsu,City,"552,047"
1515,Gusu,Suzhou,Jiangsu,District,not established
1516,Huqiu,Suzhou,Jiangsu,District,"572,313"
1517,Wuzhong,Suzhou,Jiangsu,District,"1,853,656"
1518,Xiangcheng,Suzhou,Jiangsu,District,"693,576"
1519,Wujiang,Suzhou,Jiangsu,District,"1,275,090"
1520,Changshu,Suzhou,Jiangsu,City,"1,510,103"
1521,Zhangjiagang,Suzhou,Jiangsu,City,"1,248,414"
1522,Kunshan,Suzhou,Jiangsu,City,"1,646,318"
1523,Taicang,Suzhou,Jiangsu,City,"712,069"
1524,Chongchuan,Nantong,Jiangsu,District,"868,262"
1525,Gangzha,Nantong,Jiangsu,District,"266,326"
1526,Tongzhou,Nantong,Jiangsu,District,"1,138,738"
1527,Haian,Nantong,Jiangsu,County,"866,337"
1528,Rudong,Nantong,Jiangsu,County,"995,983"
1529,Qidong,Nantong,Jiangsu,City,"972,525"
1530,Rugao,Nantong,Jiangsu,City,"1,267,066"
1531,Haimen,Nantong,Jiangsu,City,"907,598"
1532,Haizhou,Lianyungang,Jiangsu,District,"818,134"
1533,Lianyun,Lianyungang,Jiangsu,District,"231,697"
1534,Ganyu,Lianyungang,Jiangsu,District,"949,438"
1535,Donghai,Lianyungang,Jiangsu,County,"952,250"
1536,Guanyun,Lianyungang,Jiangsu,County,"817,629"
1537,Guannan,Lianyungang,Jiangsu,County,"624,766"
1538,Qinghe,Huaian,Jiangsu,District,"529,956"
1539,Chuzhou,Huaian,Jiangsu,District,"984,601"
1539,Huaian,Huaian,Jiangsu,District,"984,601"
1540,Huaiyin,Huaian,Jiangsu,District,"788,634"
1541,Qingpu,Huaian,Jiangsu,District,"330,229"
1542,Lianshui,Huaian,Jiangsu,County,"859,991"
1543,Hongze,Huaian,Jiangsu,County,"326,365"
1544,Xuyi,Huaian,Jiangsu,County,"658,830"
1545,Jinhu,Huaian,Jiangsu,County,"321,283"
1546,Tinghu,Yancheng,Jiangsu,District,"904,417"
1547,Yandu,Yancheng,Jiangsu,District,"711,300"
1548,Xiangshui,Yancheng,Jiangsu,County,"509,524"
1549,Binhai,Yancheng,Jiangsu,County,"956,162"
1550,Funing,Yancheng,Jiangsu,County,"843,275"
1551,Sheyang,Yancheng,Jiangsu,County,"896,639"
1552,Jianhu,Yancheng,Jiangsu,County,"741,646"
1553,Dongtai,Yancheng,Jiangsu,City,"990,208"
1554,Dafeng,Yancheng,Jiangsu,City,"707,069"
1555,Guangling,Yangzhou,Jiangsu,District,"340,977"
1556,Hanjiang,Yangzhou,Jiangsu,District,"576,873"
1557,Baoying,Yangzhou,Jiangsu,County,"752,074"
1558,Yizheng,Yangzhou,Jiangsu,City,"563,945"
1559,Gaoyou,Yangzhou,Jiangsu,City,"744,662"
1560,Jiangdu,Yangzhou,Jiangsu,District,"1,006,780"
1561,Jingkou,Zhenjiang,Jiangsu,District,"601,671"
1562,Runzhou,Zhenjiang,Jiangsu,District,"296,453"
1563,Dantu,Zhenjiang,Jiangsu,District,"302,276"
1564,Danyang,Zhenjiang,Jiangsu,City,"960,418"
1565,Yangzhong,Zhenjiang,Jiangsu,City,"334,886"
1566,Jurong,Zhenjiang,Jiangsu,City,"617,680"
1567,Hailing,Taizhou,Jiangsu,District,"475,100"
1568,Gaogang,Taizhou,Jiangsu,District,"250,500"
1569,Jiangyan,Taizhou,Jiangsu,District,"729,000"
1570,Jingjiang,Taizhou,Jiangsu,City,"684,600"
1571,Taixing,Taizhou,Jiangsu,City,"1,074,300"
1572,Xinghua,Taizhou,Jiangsu,City,"1,253,800"
1573,Sucheng,Suqian,Jiangsu,District,"796,627"
1574,Suyu,Suqian,Jiangsu,District,"641,059"
1575,Shuyang,Suqian,Jiangsu,County,"1,538,054"
1576,Siyang,Suqian,Jiangsu,County,"830,502"
1577,Sihong,Suqian,Jiangsu,County,"909,311"
1578,Weiyang,Yangzhou,Jiangsu,District,"474,449"
1579,Canglang,Suzhou,Jiangsu,District,"394,958"
1580,Pingjiang,Suzhou,Jiangsu,District,"268,686"
1581,Jinchang,Suzhou,Jiangsu,District,"290,811"
1582,Baixia,Nanjing,Jiangsu,District,"602,031"
1583,Xiaguan,Nanjing,Jiangsu,District,"445,117"
1584,Donghu,Nanchang,Jiangxi,District,"575,489"
1585,Xihu,Nanchang,Jiangxi,District,"503,822"
1586,Qingyunpu,Nanchang,Jiangxi,District,"316,723"
1587,Wanli,Nanchang,Jiangxi,District,"63,963"
1588,Qingshanhu,Nanchang,Jiangxi,District,"897,841"
1589,Nanchang,Nanchang,Jiangxi,County,"1,018,675"
1590,Xinjian,Nanchang,Jiangxi,County,"795,412"
1591,Anyi,Nanchang,Jiangxi,County,"180,194"
1592,Jinxian,Nanchang,Jiangxi,County,"690,446"
1593,Zhushan,Jingdezhen,Jiangxi,District,"281,358"
1594,Changjiang,Jingdezhen,Jiangxi,District,"192,203"
1595,Fuliang,Jingdezhen,Jiangxi,County,"303,563"
1596,Leping,Jingdezhen,Jiangxi,City,"810,353"
1597,Anyuan,Pingxiang,Jiangxi,District,"559,909"
1598,Xiangdong,Pingxiang,Jiangxi,District,"358,990"
1599,Lianhua,Pingxiang,Jiangxi,County,"236,328"
1600,Shangli,Pingxiang,Jiangxi,County,"441,860"
1601,Luxi,Pingxiang,Jiangxi,County,"257,423"
1602,Lushan,Jiujiang,Jiangxi,District,"302,228"
1603,Xunyang,Jiujiang,Jiangxi,District,"402,758"
1604,Jiujiang,Jiujiang,Jiangxi,County,"315,219"
1605,Wuning,Jiujiang,Jiangxi,County,"360,269"
1606,Xiushui,Jiujiang,Jiangxi,County,"739,986"
1607,Yongxiu,Jiujiang,Jiangxi,County,"376,107"
1608,Dean,Jiujiang,Jiangxi,County,"222,322"
1609,Xingzi,Jiujiang,Jiangxi,County,"245,526"
1610,Duchang,Jiujiang,Jiangxi,County,"716,370"
1611,Hukou,Jiujiang,Jiangxi,County,"275,797"
1612,Pengze,Jiujiang,Jiangxi,County,"353,149"
1613,Gongqingcheng,Jiujiang,Jiangxi,City,not established
1614,Ruichang,Jiujiang,Jiangxi,City,"419,047"
1615,Yushui,Xinyu,Jiangxi,District,"839,487"
1616,Fenyi,Xinyu,Jiangxi,County,"299,386"
1617,Yuehu,Yingtan,Jiangxi,District,"214,028"
1618,Yujiang,Yingtan,Jiangxi,County,"352,427"
1619,Guixi,Yingtan,Jiangxi,City,"558,451"
1620,Zhanggong,Ganzhou,Jiangxi,District,"642,653"
1621,Nankang,Ganzhou,Jiangxi,District,"787,636"
1622,Gan,Ganzhou,Jiangxi,County,"546,964"
1623,Xinfeng,Ganzhou,Jiangxi,County,"664,047"
1624,Dayu,Ganzhou,Jiangxi,County,"289,378"
1625,Shangyou,Ganzhou,Jiangxi,County,"257,464"
1626,Chongyi,Ganzhou,Jiangxi,County,"187,234"
1627,Anyuan,Ganzhou,Jiangxi,County,"340,740"
1628,Longnan,Ganzhou,Jiangxi,County,"300,301"
1629,Dingnan,Ganzhou,Jiangxi,County,"172,771"
1630,Quannan,Ganzhou,Jiangxi,County,"180,691"
1631,Ningdu,Ganzhou,Jiangxi,County,"794,806"
1632,Yudu,Ganzhou,Jiangxi,County,"853,457"
1633,Xingguo,Ganzhou,Jiangxi,County,"719,830"
1634,Huichang,Ganzhou,Jiangxi,County,"445,137"
1635,Xunwu,Ganzhou,Jiangxi,County,"288,207"
1636,Shicheng,Ganzhou,Jiangxi,County,"278,246"
1637,Ruijin,Ganzhou,Jiangxi,City,"618,885"
1638,Jizhou,Jian,Jiangxi,District,"338,524"
1639,Qingyuan,Jian,Jiangxi,District,"200,176"
1640,Jian,Jian,Jiangxi,County,"464,295"
1641,Jishui,Jian,Jiangxi,County,"501,337"
1642,Xiajiang,Jian,Jiangxi,County,"184,483"
1643,Xingan,Jian,Jiangxi,County,"329,830"
1644,Yongfeng,Jian,Jiangxi,County,"428,276"
1645,Taihe,Jian,Jiangxi,County,"512,225"
1646,Suichuan,Jian,Jiangxi,County,"535,974"
1647,Wanan,Jian,Jiangxi,County,"301,699"
1648,Anfu,Jian,Jiangxi,County,"385,631"
1649,Yongxin,Jian,Jiangxi,County,"475,580"
1650,Jinggangshan,Jian,Jiangxi,City,"152,310"
1651,Yuanzhou,Yichun,Jiangxi,District,"1,045,952"
1652,Fengxin,Yichun,Jiangxi,County,"312,956"
1653,Wanzai,Yichun,Jiangxi,County,"476,856"
1654,Shanggao,Yichun,Jiangxi,County,"326,697"
1655,Yifeng,Yichun,Jiangxi,County,"274,046"
1656,Jingan,Yichun,Jiangxi,County,"144,800"
1657,Tonggu,Yichun,Jiangxi,County,"135,139"
1658,Fengcheng,Yichun,Jiangxi,City,"1,336,393"
1659,Zhangshu,Yichun,Jiangxi,City,"555,103"
1660,Gaoan,Yichun,Jiangxi,City,"811,633"
1661,Linchuan,Fuzhou,Jiangxi,District,"1,089,888"
1662,Nancheng,Fuzhou,Jiangxi,County,"306,236"
1663,Lichuan,Fuzhou,Jiangxi,County,"230,086"
1664,Nanfeng,Fuzhou,Jiangxi,County,"287,932"
1665,Chongren,Fuzhou,Jiangxi,County,"347,840"
1666,Lean,Fuzhou,Jiangxi,County,"345,769"
1667,Yihuang,Fuzhou,Jiangxi,County,"224,039"
1668,Jinxi,Fuzhou,Jiangxi,County,"294,826"
1669,Zixi,Fuzhou,Jiangxi,County,"111,983"
1670,Dongxiang,Fuzhou,Jiangxi,County,"438,318"
1671,Guangchang,Fuzhou,Jiangxi,County,"235,395"
1672,Xinzhou,Shangrao,Jiangxi,District,"416,219"
1673,Shangrao,Shangrao,Jiangxi,County,"700,266"
1674,Guangfeng,Shangrao,Jiangxi,County,"752,939"
1675,Yushan,Shangrao,Jiangxi,County,"574,363"
1676,Yanshan,Shangrao,Jiangxi,County,"427,000"
1677,Hengfeng,Shangrao,Jiangxi,County,"184,870"
1678,Yiyang,Shangrao,Jiangxi,County,"353,378"
1679,Yugan,Shangrao,Jiangxi,County,"887,603"
1680,Poyang,Shangrao,Jiangxi,County,"1,296,756"
1681,Wannian,Shangrao,Jiangxi,County,"359,098"
1682,Wuyuan,Shangrao,Jiangxi,County,"334,020"
1683,Dexing,Shangrao,Jiangxi,City,"293,202"
1684,Nanguan,Changchun,Jilin,District,"1,012,547"
1685,Kuancheng,Changchun,Jilin,District,"457,959"
1686,Chaoyang,Changchun,Jilin,District,"846,688"
1687,Erdao,Changchun,Jilin,District,"402,090"
1688,Luyuan,Changchun,Jilin,District,"810,831"
1689,Shuangyang,Changchun,Jilin,District,"377,933"
1690,Jiutai,Changchun,Jilin,District,"738,606"
1691,Nongan,Changchun,Jilin,County,"102,968"
1692,Yushu,Changchun,Jilin,City,"1,060,969"
1693,Dehui,Changchun,Jilin,City,"839,786"
1694,Changyi,Jilin,Jilin,District,"659,188"
1695,Longtan,Jilin,Jilin,District,"527,532"
1696,Chuanying,Jilin,Jilin,District,"492,159"
1697,Fengman,Jilin,Jilin,District,"296,924"
1698,Yongji,Jilin,Jilin,County,"394,622"
1699,Jiaohe,Jilin,Jilin,City,"447,380"
1700,Huadian,Jilin,Jilin,City,"444,997"
1701,Shulan,Jilin,Jilin,City,"645,925"
1702,Panshi,Jilin,Jilin,City,"505,954"
1703,Tiexi,Siping,Jilin,District,"278,837"
1704,Tiedong,Siping,Jilin,District,"335,000"
1705,Lishu,Siping,Jilin,County,"782,900"
1706,Yitong,Siping,Jilin,Autonomous county (Manchu),"475,409"
1707,Gongzhuling,Siping,Jilin,City,"1,093,314"
1708,Shuangliao,Siping,Jilin,City,"420,865"
1709,Longshan,Liaoyuan,Jilin,District,"294,380"
1710,Xian,Liaoyuan,Jilin,District,"178,039"
1711,Dongfeng,Liaoyuan,Jilin,County,"355,201"
1712,Dongliao,Liaoyuan,Jilin,County,"349,025"
1713,Dongchang,Tonghua,Jilin,District,"360,195"
1714,Erdaojiang,Tonghua,Jilin,District,"146,682"
1715,Tonghua,Tonghua,Jilin,County,"247,225"
1716,Huinan,Tonghua,Jilin,County,"359,453"
1717,Liuhe,Tonghua,Jilin,County,"363,962"
1718,Meihekou,Tonghua,Jilin,City,"615,367"
1719,Jian,Tonghua,Jilin,City,"232,358"
1720,Hunjiang,Baishan,Jilin,District,"364,849"
1720,Badaojiang,Baishan,Jilin,District,"364,849"
1721,Jiangyuan,Baishan,Jilin,District,"254,381"
1722,Fusong,Baishan,Jilin,County,"298,063"
1723,Jingyu,Baishan,Jilin,County,"131,677"
1724,Changbai,Baishan,Jilin,Autonomous county (Korean),"72,575"
1725,Linjiang,Baishan,Jilin,City,"175,030"
1726,Ningjiang,Songyuan,Jilin,District,"612,816"
1727,Changling,Songyuan,Jilin,County,"639,205"
1728,Qianan,Songyuan,Jilin,County,"301,438"
1729,Qian Gorlos,Songyuan,Jilin,Autonomous county (Mongol),"607,640"
1730,Fuyu,Songyuan,Jilin,City,"718,987"
1731,Taobei,Baicheng,Jilin,District,"517,613"
1732,Zhenlai,Baicheng,Jilin,County,"298,404"
1733,Tongyu,Baicheng,Jilin,County,"353,604"
1734,Taonan,Baicheng,Jilin,City,"432,271"
1735,Daan,Baicheng,Jilin,City,"431,166"
1736,Yanji,Yanbian,Jilin,City,"563,154"
1737,Tumen,Yanbian,Jilin,City,"134,498"
1738,Dunhua,Yanbian,Jilin,City,"483,631"
1739,Hunchun,Yanbian,Jilin,City,"241,861"
1740,Longjing,Yanbian,Jilin,City,"177,295"
1741,Helong,Yanbian,Jilin,City,"189,597"
1742,Wangqing,Yanbian,Jilin,County,"255,499"
1743,Antu,Yanbian,Jilin,County,"226,065"
1744,Heping,Shenyang,Liaoning,District,"638,959"
1745,Shenhe,Shenyang,Liaoning,District,"719,033"
1746,Dadong,Shenyang,Liaoning,District,"696,711"
1747,Huanggu,Shenyang,Liaoning,District,"809,100"
1748,Tiexi,Shenyang,Liaoning,District,"878,261"
1749,Sujiatun,Shenyang,Liaoning,District,"429,143"
1750,Dongling,Shenyang,Liaoning,District,"301,832"
1750,Hunnan,Shenyang,Liaoning,District,"301,832"
1751,Shenbei,Shenyang,Liaoning,District,"318,895"
1752,Yuhong,Shenyang,Liaoning,District,"408,798"
1753,Liaozhong,Shenyang,Liaoning,County,"538,220"
1754,Kangping,Shenyang,Liaoning,County,"351,188"
1755,Faku,Shenyang,Liaoning,County,"446,223"
1756,Xinmin,Shenyang,Liaoning,City,"696,895"
1757,Zhongshan,Dalian,Liaoning,District,"357,091"
1758,Xigang,Dalian,Liaoning,District,"307,850"
1759,Shahekou,Dalian,Liaoning,District,"653,762"
1760,Ganjingzi,Dalian,Liaoning,District,"722,559"
1761,Lüshunkou,Dalian,Liaoning,District,"212,752"
1762,Jinzhou,Dalian,Liaoning,District,"729,100"
1763,Changhai,Dalian,Liaoning,County,"74,010"
1764,Wafangdian,Dalian,Liaoning,City,"1,026,160"
1765,Pulandian,Dalian,Liaoning,City,"827,585"
1766,Zhuanghe,Dalian,Liaoning,City,"922,876"
1767,Haizhou,Fuxin,Liaoning,District,"277,902"
1768,Xinqiu,Fuxin,Liaoning,District,"91,376"
1769,Taiping,Fuxin,Liaoning,District,"171,625"
1770,Qinghemen,Fuxin,Liaoning,District,"73,923"
1771,Xihe,Fuxin,Liaoning,District,"165,525"
1772,Zhangwu,Fuxin,Liaoning,County,"417,724"
1773,Fuxin,Fuxin,Liaoning,Autonomous county (Mongol),"732,630"
1774,Pingshan,Benxi,Liaoning,District,"349,130"
1775,Xihu,Benxi,Liaoning,District,"252,671"
1776,Mingshan,Benxi,Liaoning,District,"409,576"
1777,Nanfen,Benxi,Liaoning,District,"82,917"
1778,Benxi,Benxi,Liaoning,Autonomous county (Manchu),"296,218"
1779,Huanren,Benxi,Liaoning,Autonomous county (Manchu),"319,026"
1780,Yuanbao,Dandong,Liaoning,District,"191,200"
1781,Zhenxing,Dandong,Liaoning,District,"372,400"
1782,Zhenan,Dandong,Liaoning,District,"173,800"
1783,Kuandian,Dandong,Liaoning,Autonomous county (Manchu),"434,900"
1784,Donggang,Dandong,Liaoning,City,"664,000"
1785,Fengcheng,Dandong,Liaoning,City,"587,900"
1786,Baita,Liaoyang,Liaoning,District,"210,317"
1787,Wensheng,Liaoyang,Liaoning,District,"184,129"
1788,Hongwei,Liaoyang,Liaoning,District,"117,776"
1789,Gongchangling,Liaoyang,Liaoning,District,"89,441"
1790,Taizihe,Liaoyang,Liaoning,District,"123,415"
1791,Liaoyang,Liaoyang,Liaoning,County,"595,189"
1792,Dengta,Liaoyang,Liaoning,City,"513,538"
1793,Shuangtaizi,Panjin,Liaoning,District,"195,486"
1794,Xinglongtai,Panjin,Liaoning,District,"398,919"
1795,Dawa,Panjin,Liaoning,County,"393,318"
1796,Panshan,Panjin,Liaoning,County,"294,646"
1797,Yinzhou,Tieling,Liaoning,District,"346,613"
1798,Qinghe,Tieling,Liaoning,District,"98,421"
1799,Tieling,Tieling,Liaoning,County,"389,494"
1800,Xifeng,Tieling,Liaoning,County,"349,187"
1801,Changtu,Tieling,Liaoning,County,"1,038,848"
1802,Diaobingshan,Tieling,Liaoning,City,"241,028"
1803,Kaiyuan,Tieling,Liaoning,City,"590,888"
1804,Shuangta,Chaoyang,Liaoning,District,"315,437"
1805,Longcheng,Chaoyang,Liaoning,District,"188,434"
1806,Chaoyang,Chaoyang,Liaoning,County,"628,066"
1807,Jianping,Chaoyang,Liaoning,County,"583,307"
1808,Harqin,Chaoyang,Liaoning,Autonomous county (Mongol),"424,546"
1809,Beipiao,Chaoyang,Liaoning,City,"617,236"
1810,Lingyuan,Chaoyang,Liaoning,City,"644,630"
1811,Xinfu,Fushun,Liaoning,District,"276,518"
1812,Dongzhou,Fushun,Liaoning,District,"335,779"
1813,Wanghua,Fushun,Liaoning,District,"371,592"
1814,Shuncheng,Fushun,Liaoning,District,"416,856"
1815,Fushun,Fushun,Liaoning,County,"190,528"
1816,Xinbin,Fushun,Liaoning,Autonomous county (Manchu),"306,018"
1817,Qingyuan,Fushun,Liaoning,Autonomous county (Manchu),"339,969"
1818,Tiedong,Anshan,Liaoning,District,"491,707"
1819,Tiexi,Anshan,Liaoning,District,"294,585"
1820,Lishan,Anshan,Liaoning,District,"427,434"
1821,Qianshan,Anshan,Liaoning,District,"259,819"
1822,Taian,Anshan,Liaoning,County,"377,706"
1823,Xiuyan,Anshan,Liaoning,Autonomous county (Manchu),"517,152"
1824,Haicheng,Anshan,Liaoning,City,"1,134,065"
1825,Zhanqian,Yingkou,Liaoning,District,"383,241"
1826,Xishi,Yingkou,Liaoning,District,"204,105"
1827,Bayuquan,Yingkou,Liaoning,District,"431,329"
1828,Laobian,Yingkou,Liaoning,District,"165,047"
1829,Gaizhou,Yingkou,Liaoning,City,"723,218"
1830,Dashiqiao,Yingkou,Liaoning,City,"721,363"
1831,Guta,Jinzhou,Liaoning,District,"250,577"
1832,Taihe,Jinzhou,Liaoning,District,"454,883"
1833,Linghe,Jinzhou,Liaoning,District,"212,030"
1834,Heishan,Jinzhou,Liaoning,County,"630,472"
1835,Yi,Jinzhou,Liaoning,County,"439,377"
1836,Linghai,Jinzhou,Liaoning,City,"576,143"
1837,Beizhen,Jinzhou,Liaoning,City,"530,645"
1838,Lianshan,Huludao,Liaoning,District,"626,573"
1839,Longgang,Huludao,Liaoning,District,"202,306"
1840,Nanpiao,Huludao,Liaoning,District,"147,047"
1841,Suizhong,Huludao,Liaoning,County,"636,858"
1842,Jianchang,Huludao,Liaoning,County,"622,068"
1843,Xingcheng,Huludao,Liaoning,City,"552,180"
1844,Xingqing,Yinchuan,Ningxia,District,"678,306"
1845,Xixia,Yinchuan,Ningxia,District,"329,310"
1846,Jinfeng,Yinchuan,Ningxia,District,"282,554"
1847,Yongning,Yinchuan,Ningxia,County,"218,260"
1848,Helan,Yinchuan,Ningxia,County,"222,981"
1849,Lingwu,Yinchuan,Ningxia,City,"261,677"
1850,Dawukou,Shizuishan,Ningxia,District,"286,669"
1851,Huinong,Shizuishan,Ningxia,District,"185,803"
1852,Pingluo,Shizuishan,Ningxia,County,"253,010"
1853,Litong,Wuzhong,Ningxia,District,"379,346"
1854,Hongsibu,Wuzhong,Ningxia,District,"165,016"
1855,Yanchi,Wuzhong,Ningxia,County,"146,560"
1856,Tongxin,Wuzhong,Ningxia,County,"318,153"
1857,Qingtongxia,Wuzhong,Ningxia,City,"264,717"
1858,Yuanzhou,Guyuan,Ningxia,District,"411,854"
1859,Xiji,Guyuan,Ningxia,County,"354,321"
1860,Longde,Guyuan,Ningxia,County,"160,754"
1861,Jingyuan,Guyuan,Ningxia,County,"101,026"
1862,Pengyang,Guyuan,Ningxia,County,"200,201"
1863,Shapotou,Zhongwei,Ningxia,District,"378,606"
1864,Zhongning,Zhongwei,Ningxia,County,"312,921"
1865,Haiyuan,Zhongwei,Ningxia,County,"389,305"
1866,Chengdong,Xining,Qinghai,District,"359,688"
1867,Chengzhong,Xining,Qinghai,District,"296,987"
1868,Chengxi,Xining,Qinghai,District,"242,627"
1869,Chengbei,Xining,Qinghai,District,"299,002"
1870,Huangyuan,Xining,Qinghai,County,"437,835"
1871,Huangzhong,Xining,Qinghai,County,"136,632"
1872,Datong,Xining,Qinghai,Autonomous county (Hui & Tu),"435,937"
1873,Ledu,Haidong,Qinghai,District,"260,185"
1874,Pingan,Haidong,Qinghai,County,"102,975"
1875,Minhe,Haidong,Qinghai,Autonomous county (Hui & Tu),"350,118"
1876,Huzhu,Haidong,Qinghai,Autonomous county (Tu),"356,437"
1877,Hualong,Haidong,Qinghai,Autonomous county (Hui),"203,317"
1878,Xunhua,Haidong,Qinghai,Autonomous county (Salar),"123,814"
1879,Qilian,Haibei,Qinghai,County,"13,789"
1880,Haiyan,Haibei,Qinghai,County,"11,497"
1881,Gangca,Haibei,Qinghai,County,"11,473"
1882,Menyuan,Haibei,Qinghai,Autonomous county (Hui),"37,595"
